indicator,base-per,Unit,Date,Value
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2019M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2020M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2021M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2022M9,46.04
