indicator,Unit,Date,Value
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M6,28022
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M7,28043
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M8,28043
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M9,26976
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M10,28092
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M11,29035
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M12,29038
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M1,29023
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M2,29021
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M3,28962
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M4,29993
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M5,30017
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M6,29719
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M7,29949
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2025M8,29895
